title,prefecture,review_count,checkin_month,checkin_day,checkout_month,checkout_day,restaurant,pool,airport_shuttle,beach,parking,24-hour_front_desk,laundry,garden,heating,daily_housekeeping,facilities_for_disabled_guests,family_rooms,tea/coffee_maker_in_all_rooms,bar,spa,fitness_center,room_service,baggage_storage,air_conditioning,terrace,hot_spring_bath,elevator,designated_smoking_area,skiing,price
Onn Yuda Onsen,Yamaguchi,799.0,10,13,10,18,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,31653.0
APA Hotel & Resort Hakata Ekihigashi,Fukuoka,4588.0,10,13,10,18,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33597.0
Dormy Inn Matsumoto,Nagano,1052.0,11,24,11,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36384.0
HOTEL ALL IN Kumamoto,Kumamoto,37.0,10,13,10,18,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44524.0
The Centurion Hotel & Spa Classic Izumo,Shimane,2505.0,10,13,10,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39197.0
APA Hotel Akihabara Ekihigashi,Tokyo,2276.0,11,24,11,29,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,50668.0
stayme THE HOTEL Ueno,Tokyo,1672.0,10,13,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,36212.0
Via Inn Prime Kyotoeki Hachijoguchi,Kyoto,4386.0,11,3,11,8,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51500.0
Aya Niseko,Hokkaido,398.0,10,13,10,18,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36212.0
Hotel Torifito Hakata Gion,Fukuoka,3943.0,11,24,11,29,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36346.0
Hotel Metropolitan Tokyo Haneda,Tokyo,3922.0,11,24,11,29,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,40985.0
Hotel Maruya Grande,Fukushima,243.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35541.0
HOTEL R9 The Yard Taketoyo,Aichi,222.0,11,24,11,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22165.0
Tennen Onsen Taho-no-Yu Dormy Inn Niigata,Niigata,905.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,22155.0
Grand Park Hotel Odate,Akita,711.0,10,27,11,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23098.0
MIMARU Kyoto Station,Kyoto,1081.0,12,15,12,20,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36212.0
EN RESORT Kumejima EEF Beach Hotel,Okinawa,280.0,12,15,12,20,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,26773.0
Dormy Inn Premium Namba Natural Hot Spring,Osaka,1741.0,12,15,12,20,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,46467.0
Hotel Sunroute Plaza Shinjuku,Tokyo,11922.0,12,15,12,20,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,52573.0
Hotel Nikko Kanazawa,Ishikawa,2977.0,12,15,12,20,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,34569.0
JR Kyushu Hotel Blossom Hakata Central,Fukuoka,3678.0,10,27,11,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50277.0
Hotel Wing International Sagamihara,Kanagawa,790.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18370.0
KOKO HOTEL Sapporo Odori,Hokkaido,4369.0,11,3,11,8,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,35272.0
Comfort Hotel Tsubamesanjo,Niigata,421.0,12,15,12,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15945.0
HOTEL R9 The Yard Uki,Kumamoto,218.0,12,15,12,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19825.0
HOTEL MYSTAYS Asakusabashi,Tokyo,2480.0,10,27,11,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,40519.0
Vignette Collection The Windsor Hotel TOYA by IHG,Hokkaido,323.0,10,27,11,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,76542.0
King Ambassador Hotel Kumagaya,Saitama,580.0,10,27,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18082.0
Dotonbori Hotel,Osaka,3383.0,12,15,12,20,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,36572.0
Omura Central Hotel,Nagasaki,466.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30818.0
